ODB Name,Step,Frame,Part Instance Name, Element Label,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,         S-S11,         S-S22,         S-S12
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            17,            23,          284.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -23.5128,      -6.11331,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            18,            23,          284.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -23.5128,      -6.11331,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            19,            24,          286.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -22.9960,      -5.97895,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            18,            24,          286.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -22.9960,      -5.97895,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            19,            25,          288.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -22.4792,      -5.84459,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            20,            25,          288.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -22.4792,      -5.84459,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            21,            26,          290.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -21.9625,      -5.71023,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            20,            26,          290.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -21.9625,      -5.71023,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            22,            27,          292.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -21.4457,      -5.57587,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            21,            27,          292.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -21.4457,      -5.57587,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            22,            28,          294.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -20.9289,      -5.44151,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            23,            28,          294.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -20.9289,      -5.44151,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            23,            29,          296.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -20.4122,      -5.30716,   233.407E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            24,            29,          296.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -20.4122,      -5.30716,   233.407E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            25,            30,          298.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -19.8954,      -5.17280,   233.406E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            24,            30,          298.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -19.8954,      -5.17280,   233.406E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            26,            31,          300.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -19.3787,      -5.03844,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            25,            31,          300.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -19.3787,      -5.03844,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            27,            32,          302.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -18.8619,      -4.90408,   233.406E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            26,            32,          302.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -18.8619,      -4.90408,   233.406E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            27,            33,          304.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -18.3451,      -4.76972,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            28,            33,          304.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -18.3451,      -4.76972,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            28,            34,          306.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -17.8284,      -4.63536,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            29,            34,          306.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -17.8284,      -4.63536,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            29,            35,          308.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -17.3116,      -4.50101,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            30,            35,          308.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -17.3116,      -4.50101,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            31,            36,          310.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -16.7948,      -4.36665,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            30,            36,          310.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -16.7948,      -4.36665,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            31,            37,          312.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -16.2781,      -4.23229,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            32,            37,          312.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -16.2781,      -4.23229,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            33,            38,          314.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -15.7613,      -4.09793,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            32,            38,          314.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -15.7613,      -4.09793,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            34,            39,          316.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -15.2445,      -3.96357,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            33,            39,          316.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -15.2445,      -3.96357,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            34,            40,          318.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -14.7278,      -3.82921,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            35,            40,          318.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -14.7278,      -3.82921,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            36,            41,          320.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -14.2110,      -3.69486,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            35,            41,          320.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -14.2110,      -3.69486,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            37,            42,          322.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -13.6943,      -3.56050,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            36,            42,          322.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -13.6943,      -3.56050,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            38,            43,          324.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -13.1775,      -3.42614,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            37,            43,          324.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -13.1775,      -3.42614,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            39,            44,          326.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -12.6607,      -3.29178,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            38,            44,          326.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -12.6607,      -3.29178,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            40,            45,          328.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -12.1440,      -3.15742,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            39,            45,          328.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -12.1440,      -3.15742,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            41,            46,          330.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -11.6272,      -3.02306,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            40,            46,          330.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -11.6272,      -3.02306,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            41,            47,          332.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -11.1104,      -2.88870,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            42,            47,          332.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -11.1104,      -2.88870,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            43,            48,          334.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -10.5937,      -2.75435,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            42,            48,          334.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -10.5937,      -2.75435,   233.404E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            44,            49,          336.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -10.0769,      -2.61999,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            43,            49,          336.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -10.0769,      -2.61999,   233.405E-03
Y:/BeamDyn.odb,DefInit,Increment      1: Step Time =    1.000,"PART-1-1",            44,            50,          338.,            0.,            0.,"ASSEMBLY_PART-1-1__PICKEDSET2","STEEL","",      -9.56015,      -2.48563,   233.405E-03
